name,region,email,city,state,country,balance,tax,greek,school
Nu Delta,Great Lakes,nu.delta@thetatau.org,Pittsburgh,Pennsylvania,United States,0,,ND,University of Pittsburgh
Nu Epsilon,Southeast,nu.epsilon@thetatau.org,New Orleans,Louisiana,United States,80,,NE,Tulane University
Nu Gamma,Northeast,nu.gamma@thetatau.org,Binghamton,New York,United States,110,,NG,Binghamton University
NJIT Colony,Northeast,njit.colony@thetatau.org,Newark,New Jersey,United States,0,,NJIT,New Jersey Institute of Technology
Omicron,Midwest,omicron@thetatau.org,Iowa City,Iowa,United States,0,,O,University of Iowa
Omicron Beta,Great Lakes,omicron.beta@thetatau.org,Dearborn,Michigan,United States,0,,OB,University of Michigan - Dearborn
Omicron Delta,Northeast,omicron.delta@thetatau.org,New Brunswick,New Jersey,United States,0,453237267,OD,Rutgers University
Omicron Gamma,Western,omicron.gamma@thetatau.org,Davis,California,United States,170,,OG,University of California - Davis
Omega Beta,Northeast,omega.beta@thetatau.org,Hempstead,New York,United States,201,,OmB,Hofstra University
Omega,Central,omega@thetatau.org,Rapid City,South Dakota,United States,350,,Omg,South Dakota School of Mines and Technology
Omega Gamma,Gulf,omega.gamma@thetatau.org,Miami,Florida,United States,0,,OmGa,Florida International University
Omega Delta,Southeast,omega.delta@thetatau.org,Memphis,Tennessee,United States,0,,OmgD,Christian Brothers University
Rho,Southeast,rho@thetatau.org,Raleigh,North Carolina,United States,0,452493325,P,North Carolina State University
Rho Beta,Great Lakes,rho.beta@thetatau.org,Athens,Ohio,United States,6356,,PB,The Ohio University
Rho Delta,Western,rho.delta@thetatau.org,Reno,Nevada,United States,0,462621749,PD,"University of Nevada, Reno"
Rho Gamma,Gulf,rho.gamma@thetatau.org,Orlando,Florida,United States,2142,331143332,PG,University of Central Florida
Phi Delta,Gulf,phi.delta@thetatau.org,Tallahassee,Florida,United States,1767,,PhD,Florida State University
Phi Gamma,Central,phi.gamma@thetatau.org,Stillwater,Oklahoma,United States,222,,PhG,Oklahoma State University
Phi,Midwest,phi@thetatau.org,West Lafayette,Indiana,United States,50,,Phi,Purdue University
Pi,Atlantic,pi@thetatau.org,Charlottesville,Virginia,United States,30,454926677,Pi,University of Virginia
Pi Delta,Western,pi.delta@thetatau.org,Irvine,California,United States,0,453536950,PiD,"University of California, Irvine"
Pi Gamma,Southeast,pi.gamma@thetatau.org,Charlotte,North Carolina,United States,534,472381813,PiG,"University of North Carolina, Charlotte"
Psi Beta,Central,psi.beta@thetatau.org,Austin,Texas,United States,90,746000203,PsB,University of Texas at Austin
Psi Delta,Northeast,psi.delta@thetatau.org,Boston,Massachusetts,United States,0,,PsD,Boston University
Psi Gamma,Atlantic,psi.gamma@thetatau.org,Blacksburg,Virginia,United States,0,465000564,PsG,Virginia Polytechnic Institute & State University
ROW Colony,Northeast,row.colony@thetatau.org,Glassboro,New Jersey,United States,798,,ROW,Rowan University
Sigma,Great Lakes,sigma@thetatau.org,Columbus,Ohio,United States,0,,S,The Ohio State University
SCU Colony,Western,scu.colony@thetatau.org,Santa Clara,California,United States,0,,SCU,Santa Clara University
Sigma Delta,Western,sigma.delta@thetatau.org,Riverside,California,United States,5820,463989373,SD,"University of California, Riverside"
Sigma Gamma,Northeast,sigma.gamma@thetatau.org,Kingston,Rhode Island,United States,0,,SG,University of Rhode Island
Tau,Northeast,tau@thetatau.org,Syracuse,New York,United States,0,,T,Syracuse University
Tau Beta,Central,tau.beta@thetatau.org,Dallas,Texas,United States,0,,TB,Southern Methodist University
Tau Delta,Great Lakes,tau.delta@thetatau.org,Oxford,Ohio,United States,1222,471891550,TD,Miami University
TEST,Western,test@thetatau.org,Austin,Texas,United States,0,,TEST,University of Test
Tau Gamma,Northeast,tau.gamma@thetatau.org,Philadelphia,Pennsylvania,United States,30,,TG,University of Pennsylvania
Theta Delta,Atlantic,theta.delta@thetatau.org,Baltimore,Maryland,United States,0,452922931,ThD,Johns Hopkins University
Theta Epsilon,Northeast,nyu.colony@thetatau.org,New York,New York,United States,45,,ThE,New York University Polytechnic
Theta Gamma,Great Lakes,theta.gamma@thetatau.org,Ann Arbor,Michigan,United States,0,,ThG,University of Michigan
TU Colony,Northeast,tu.colony@thetatau.org,Philadelphia,Pennsylvania,United States,3315,,TU,Temple University
Upsilon,Central,upsilon@thetatau.org,Fayetteville,Arkansas,United States,0,,U,University of Arkansas
Upsilon Beta,Atlantic,upsilon.beta@thetatau.org,Norfolk,Virginia,United States,0,462056162,UB,Old Dominion University
UCSB Colony,Western,ucsb.colony@thetatau.org,Santa Barbara,California,United States,1050,,UCSB,"University of California, Santa Barbara"
Upsilon Delta,Western,upsilon.delta@thetatau.org,Los Angeles,California,United States,0,,UD,University of California Los Angeles
Upsilon Gamma,Gulf,upsilon.gamma@thetatau.org,Tampa,Florida,United States,0,205262968,UG,University of South Florida
UNH Colony,Northeast,unh.colony@thetatau.org,West Haven,Connecticut,United States,68,,UNH,University of New Haven
Victoria Colony,Western,uv.colony@thetatau.org,Oak Bay,British Columbia,Canada,1450,,VIC,University of Victoria
Chi,Western,chi@thetatau.org,Tucson,Arizona,United States,1145,,X,University of Arizona
Chi Beta,Great Lakes,chi.beta@thetatau.org,Toledo,Ohio,United States,0,,XB,University of Toledo
Chi Delta,Great Lakes,chi.delta@thetatau.org,Huntington,West Virginia,United States,3890,462065482,XD,Marshall University
Chi Gamma,Southeast,chi.gamma@thetatau.org,Knoxville,Tennessee,United States,50,264722024,XG,University of Tennessee
Xi,Midwest,xi@thetatau.org,Madison,Wisconsin,United States,0,465409239,Xi,University of Wisconsin
Xi Beta,Great Lakes,xi.beta@thetatau.org,Southfield,Michigan,United States,570,452493137,XiB,Lawrence Technological University
Xi Delta,Atlantic,xi.delta@thetatau.org,Fairfax,Virginia,United States,924,273417291,XiD,George Mason University
Xi Gamma,Central,xi.gamma@thetatau.org,College Station,Texas,United States,0,,XiG,Texas A&M
Zeta,Central,zeta@thetatau.org,Lawrence,Kansas,United States,0,480447720,Z,University of Kansas
Zeta Delta,Southeast,zeta.delta@thetatau.org,Columbia,South Carolina,United States,2199,,ZD,University of South Carolina
Zeta Epsilon,Northeast,zeta.epsilon@thetatau.org,Stony Brook,New York,United States,649,,ZE,Stony Brook University
Zeta Gamma,Gulf,zeta.gamma@thetatau.org,Gainesville,Florida,United States,505,,ZG,University of Florida
